source_row,article_title,image_filename,batch,status,notes
133,13 Best Nutrition and Dietetics Virtual Medical Assistant Companies (2026),13-best-nutrition-and-dietetics-virtual-medical-assistant-companies-2026.webp,batch-027,success,
134,7 Best OB-GYN Virtual Medical Assistant Companies (2026),7-best-ob-gyn-virtual-medical-assistant-companies-2026.webp,batch-027,success,
135,7 Best Occupational Therapy Virtual Medical Assistant Companies (2026),7-best-occupational-therapy-virtual-medical-assistant-companies-2026.webp,batch-027,success,
136,7 Best Oncology Virtual Medical Assistant Companies (2026),7-best-oncology-virtual-medical-assistant-companies-2026.webp,batch-027,success,
137,7 Best Optometry Virtual Medical Assistant Companies (2026),7-best-optometry-virtual-medical-assistant-companies-2026.webp,batch-027,success,
369,13 Best Nutrition and Dietetics Virtual Medical Assistant Companies (2026),13-best-nutrition-and-dietetics-virtual-medical-assistant-companies-2026.webp,batch-027,skipped-duplicate,duplicate-of-row-133
370,7 Best OB-GYN Virtual Medical Assistant Companies (2026),7-best-ob-gyn-virtual-medical-assistant-companies-2026.webp,batch-027,skipped-duplicate,duplicate-of-row-134
371,7 Best Occupational Therapy Virtual Medical Assistant Companies (2026),7-best-occupational-therapy-virtual-medical-assistant-companies-2026.webp,batch-027,skipped-duplicate,duplicate-of-row-135
372,7 Best Oncology Virtual Medical Assistant Companies (2026),7-best-oncology-virtual-medical-assistant-companies-2026.webp,batch-027,skipped-duplicate,duplicate-of-row-136
373,7 Best Optometry Virtual Medical Assistant Companies (2026),7-best-optometry-virtual-medical-assistant-companies-2026.webp,batch-027,skipped-duplicate,duplicate-of-row-137
